Column1
Темы диссертаций и авторефератов по специальности Физическая химия ВАК РФ 02 00 04
Влияние методики синтеза металл-органических координационных полимеров семейства ZIF на их сорбционные свойства и стабильность
Поляков Владимир Андреевич
Катодные материалы для двухионных аккумуляторов на основе полимерных аминов
Обрезков Филипп Александрович
Наноструктурированные композиты на основе многостенных углеродных нанотрубок наполненные оксидами и гидроксидами переходных металлов
Качина Екатерина Викторовна
Особенности электронной (де)локализации и их влияние на макро- и микроскопические свойства молекул гидратированных и макромолекулярных систем
Левина Елена Олеговна
Физико-химические и структурные свойства сплавов алюминия с переходными металлами III-IV групп содержащих метастабильные интерметаллиды с кубической решеткой
Гилёв �ван Олегович
Формирование бинарных и трехкомпонентых кластеров и нуклеация наночастиц атмосферного происхождения
Назаренко Екатерина Сергеевна
Фотолюминесценция композитов на основе полиметилметакрилата и наноразмерных частиц легированных сульфидов цинка и кадмия
�саева Анастасия Александровна
S1←S0 спектры возбуждения флуоресценции и строение молекул простейших алкилзамещенных альдегидов в S1-возбужденном электронном состоянии
Терентьев Руслан Владимирович
Адсорбция цетилтриметиламмоний бромида природным цеолитом и свойства его модифицированной поверхности
Спиридонов Александр Михайлович
Анизотропные углеродные наноструктуры синтез физико-химическая характеризация применение в суперконденсаторах с неводными электролитами
Архипова Екатерина Анатольевна
Взаимосвязь строения и активности нанокомпозитных катализаторов на основе оксидов железа меди и алюминия в реакции окисления СО
Кремнева Анна Михайловна
Влияние графена на фазообразование и электрические свойства в системах на основе оксида циркония
Глухарев Артем Геннадьевич
Влияние механических деформаций на электронные свойства и адсорбционную способность графена и родственных углеродных наноструктур
Катин Константин Петрович
Влияние электронно-колебательного взаимодействия на перенос энергии в светопоглощающем комплексе LHCII высших растений
Козлов Максим �горевич
Водородная связь и переход протона в самоассоциатах и смешанных комплексах фосфорсодержащих кислот
Муллоярова Валерия Вячеславовна
Генерирование наноразмерных частиц кобальта и никеля в условиях электрохимического восстановления
Хуснуриялова Алия Фанусовна
Гидроизомеризация бензола на катализаторах Pt-цеолит
Калашников �ван Михайлович
Донорно-акцепторные взаимодействия в комплексах меди (II) и германия (II) с N- и O-координирующими лигандами
Жигулин Григорий Юрьевич
Закономерности адсорбции газов-поллютантов на поверхности металлсодержащего пиролизованного полиакрилонитрила
Авилова Марта Маисовна
Закономерности расслаивания и распределение ионов металлов в системах вода – оксиэтилированный нонилфенол – высаливатель
Станкова Анастасия Вадимовна
Закономерности синтеза и выделения глиоксалевой кислоты из смесей продуктов окисления глиоксаля
Поздняков Максим Александрович
Закономерности физико-химических процессов в дисперсных металлах подвергнутых высокоэнергетическим воздействиям и их структурно-энергетическое состояние
Мостовщиков Андрей Владимирович
Закономерности формирования и каталитические свойства коллоидных CuOx частиц полученных импульсной лазерной абляцией
Гончарова Дарья Алексеевна
�сследование влияния структурных особенностей пленок фторзамещенных фталоцианинов металлов MPcFx (x = 4 16 M = Co Cu Zn Pd Fe VO Pb) на их сенсорный отклик на аммиак
Клямер Дарья Дмитриевна
�сследование локальной структуры высокодисперсных форм платины и родия в катализаторах на основе диоксида церия
Федорова Елизавета Александровна
�сследование многокомпонентных сплавов при помощи машинно обучаемых потенциалов
Костюченко Татьяна Сергеевна
�сследование МОКП ZIF-8 методом ЭПР спектроскопии с использованием инкапсулированного спинового зонда
Порываев Артем Сергеевич
�сследование сорбции гостевых молекул в МОКП методами ЭПР спектроскопии
Полюхов Даниил Максимович
�сследование стабильности и упругих свойств газогидратных каркасов и льда с учетом протонного беспорядка
Гудковских Сергей Владимирович
Катализаторы на основе Ag/SBA-15 для глубокого окисления летучих органических соединений
Михеева Наталья Николаевна
Квантовохимическое моделирование механизмов сборки аннелированных гетероциклических систем с пиррольным ядром в суперосновной среде KOH/DMSO
Бобков Александр Сергеевич
Кинетика и динамика сорбции полифенольных физиологически активных веществ наноструктурированными материалами
Карпов Сергей �ванович
Кинетические и энергетические параметры взаимодействия водных растворов ПАВ с нефтяными пленками на поверхности твердого тела
Штыков Сергей Владимирович
Кобальтовые катализаторы процесса Фишера-Тропша на углеродных нанотрубках стабильность и регенерация
Бурцев Александр Алексеевич
Комплексы с переносом протона в водно-солевых матричных системах
Спирин �ван Александрович
Композитные сорбенты на основе ценосфер энергетических зол синтез строение и сорбционные свойства в отношении Cs+ Sr2+ и Nd3+
Кутихина Екатерина Анатольевна
Конверсия метана в электродуговой плазме водяного пара и углекислого газа
Субботин Дмитрий �горевич
Конъюгаты борфторидных комплексов дипиррометена с аминокислотами получение и физико-химические свойства
Ксенофонтова Ксения Витальевна
Кристаллическая структура термодинамика образования и разупорядочения сложных оксидов RBaCo2-xMxO6-δ (R=Y La Pr Nd Sm Eu Gd Ho M=Mn Fe Cu) со структурой двойного перовскита
Цветков Дмитрий Сергеевич
Кристаллохимия новых пероксосольватов и гидразиносольватов органических соединений
Навасардян Мгер Арменович
